------------------------------------------------------------------------------------
Date: 8/25/2025 -- 20:42:08 (uptime: 0d, 00h 00m 18s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
tcp.reassembly_memuse                         | Total                     | 1384448
http.memuse                                   | Total                     | 224
flow.memuse                                   | Total                     | 7599104
------------------------------------------------------------------------------------
Date: 8/25/2025 -- 20:43:12 (uptime: 0d, 00h 01m 22s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 11050
capture.afpacket.polls                        | Total                     | 13028
capture.afpacket.poll_timeout                 | Total                     | 7957
capture.afpacket.poll_data                    | Total                     | 5071
decoder.pkts                                  | Total                     | 11053
decoder.bytes                                 | Total                     | 10888164
decoder.ipv4                                  | Total                     | 68
decoder.ipv6                                  | Total                     | 10941
decoder.ethernet                              | Total                     | 11053
decoder.arp                                   | Total                     | 37
decoder.unknown_ethertype                     | Total                     | 7
decoder.tcp                                   | Total                     | 629
tcp.syn                                       | Total                     | 26
tcp.synack                                    | Total                     | 4
decoder.udp                                   | Total                     | 10246
decoder.icmpv6                                | Total                     | 132
decoder.avg_pkt_size                          | Total                     | 985
decoder.max_pkt_size                          | Total                     | 1486
tcp.active_sessions                           | Total                     | 13
flow.total                                    | Total                     | 52
flow.active                                   | Total                     | 41
flow.tcp                                      | Total                     | 18
flow.udp                                      | Total                     | 17
flow.icmpv6                                   | Total                     | 17
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 12
decoder.event.ipv4.opt_pad_required           | Total                     | 2
decoder.event.ipv6.zero_len_padn              | Total                     | 3
tcp.sessions                                  | Total                     | 13
tcp.ssn_from_pool                             | Total                     | 13
tcp.segment_from_cache                        | Total                     | 7
tcp.segment_from_pool                         | Total                     | 8
app_layer.flow.http                           | Total                     | 2
app_layer.tx.http                             | Total                     | 2
app_layer.flow.tls                            | Total                     | 1
app_layer.flow.quic                           | Total                     | 1
app_layer.flow.dhcp                           | Total                     | 1
app_layer.tx.dhcp                             | Total                     | 1
app_layer.flow.dns_udp                        | Total                     | 13
app_layer.tx.dns_udp                          | Total                     | 26
app_layer.flow.failed_udp                     | Total                     | 2
flow.end.state.new                            | Total                     | 11
flow.mgr.full_hash_pass                       | Total                     | 7
flow.mgr.rows_per_sec                         | Total                     | 7208
flow.spare                                    | Total                     | 10011
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 62
flow.mgr.flows_notimeout                      | Total                     | 51
flow.mgr.flows_timeout                        | Total                     | 11
flow.mgr.flows_evicted                        | Total                     | 11
memcap_pressure                               | Total                     | 11
memcap_pressure_max                           | Total                     | 11
flow.recycler.recycled                        | Total                     | 11
flow.recycler.queue_max                       | Total                     | 4
tcp.memuse                                    | Total                     | 7471488
tcp.reassembly_memuse                         | Total                     | 1394688
http.memuse                                   | Total                     | 112
flow.memuse                                   | Total                     | 7599104
------------------------------------------------------------------------------------
Date: 8/25/2025 -- 20:43:20 (uptime: 0d, 00h 01m 30s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 13738
capture.afpacket.polls                        | Total                     | 15373
capture.afpacket.poll_timeout                 | Total                     | 8977
capture.afpacket.poll_data                    | Total                     | 6396
decoder.pkts                                  | Total                     | 14262
decoder.bytes                                 | Total                     | 14165632
decoder.ipv4                                  | Total                     | 70
decoder.ipv6                                  | Total                     | 14143
decoder.ethernet                              | Total                     | 14262
decoder.arp                                   | Total                     | 41
decoder.unknown_ethertype                     | Total                     | 8
decoder.tcp                                   | Total                     | 713
tcp.syn                                       | Total                     | 27
tcp.synack                                    | Total                     | 5
decoder.udp                                   | Total                     | 13351
decoder.icmpv6                                | Total                     | 147
decoder.avg_pkt_size                          | Total                     | 993
decoder.max_pkt_size                          | Total                     | 1486
tcp.active_sessions                           | Total                     | 12
flow.total                                    | Total                     | 54
flow.active                                   | Total                     | 41
flow.tcp                                      | Total                     | 19
flow.udp                                      | Total                     | 18
flow.icmpv6                                   | Total                     | 17
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 12
decoder.event.ipv4.opt_pad_required           | Total                     | 2
decoder.event.ipv6.zero_len_padn              | Total                     | 3
tcp.sessions                                  | Total                     | 14
tcp.ssn_from_pool                             | Total                     | 14
tcp.segment_from_cache                        | Total                     | 16
tcp.segment_from_pool                         | Total                     | 16
tcp.overlap                                   | Total                     | 1
app_layer.flow.http                           | Total                     | 2
app_layer.tx.http                             | Total                     | 2
app_layer.flow.tls                            | Total                     | 2
app_layer.flow.quic                           | Total                     | 1
app_layer.flow.dhcp                           | Total                     | 1
app_layer.tx.dhcp                             | Total                     | 1
app_layer.flow.dns_udp                        | Total                     | 14
app_layer.tx.dns_udp                          | Total                     | 28
app_layer.flow.failed_udp                     | Total                     | 2
flow.end.state.new                            | Total                     | 11
flow.end.state.closed                         | Total                     | 2
flow.end.tcp_state.closed                     | Total                     | 2
flow.mgr.full_hash_pass                       | Total                     | 8
flow.mgr.rows_per_sec                         | Total                     | 7208
flow.spare                                    | Total                     | 10013
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 71
flow.mgr.flows_notimeout                      | Total                     | 58
flow.mgr.flows_timeout                        | Total                     | 13
flow.mgr.flows_evicted                        | Total                     | 13
memcap_pressure                               | Total                     | 11
memcap_pressure_max                           | Total                     | 11
flow.recycler.recycled                        | Total                     | 13
flow.recycler.queue_max                       | Total                     | 4
tcp.memuse                                    | Total                     | 7471488
tcp.reassembly_memuse                         | Total                     | 1390592
flow.memuse                                   | Total                     | 7599104
------------------------------------------------------------------------------------
Date: 8/25/2025 -- 20:43:28 (uptime: 0d, 00h 01m 38s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
